64 4.23232 0.728 0.01 48
-1.6211 -1.59324 -1.60637 -0.160465 -0.0274976 -0.0707899
-1.57664 -1.55562 -0.526293 0.0316233 0.120421 -0.00348959
-1.6282 -1.58735 0.491092 -0.180386 -0.00102838 -0.170012
-1.62628 -1.57543 1.62428 -0.182533 0.0395827 0.154265
-1.58825 -0.51902 -1.56702 -0.0110281 0.0447111 0.0978292
-1.56816 -0.567762 -0.539355 0.0841532 -0.156608 -0.0342393
-1.56822 -0.543513 0.572994 0.090333 -0.0713355 0.212054
-1.56836 -0.567807 1.62355 0.0916016 -0.17923 0.182862
-1.59641 0.524638 -1.60435 -0.0537696 -0.0183692 -0.0903277
-1.61663 0.557576 -0.563712 -0.124499 0.110119 -0.166312
-1.58952 0.511064 0.530244 -0.0102507 -0.0836121 -0.00434541
-1.6256 0.4895 1.57975 -0.191164 -0.193703 -0.0378455
-1.55635 1.58116 -1.62038 0.132025 -0.0301218 -0.133611
-1.56697 1.5548 -0.510282 0.0963809 -0.129967 0.0908182
-1.5802 1.60296 0.565489 0.0221268 0.0700072 0.18006
-1.60499 1.58498 1.61819 -0.0705236 -0.0150028 0.133653
-0.503142 -1.59629 -1.5887 0.12152 -0.0344348 -0.0238897
-0.557781 -1.58502 -0.564848 -0.122937 -0.00215316 -0.159948
-0.533509 -1.5686 0.562848 -0.0359822 0.0902565 0.138245
-0.503132 -1.61238 1.56022 0.121301 -0.100127 -0.108108
-0.550416 -0.539132 -1.56691 -0.0955912 -0.0483276 0.0927233
-0.553893 -0.54744 -0.513914 -0.116147 -0.0891395 0.0651504
-0.515407 -0.54018 0.502005 0.0753156 -0.041127 -0.125215
-0.501588 -0.493174 1.56004 0.139131 0.170861 -0.128615
-0.539795 0.532238 -1.58548 -0.0530984 0.0195377 0.00657104
-0.494964 0.499762 -0.515286 0.137891 -0.148802 0.0653668
-0.518773 0.552346 0.529342 0.051309 0.114253 -0.00327481
-0.557207 0.561473 1.56005 -0.13664 0.164555 -0.122337
-0.538158 1.61639 -1.61254 -0.0297052 0.131193 -0.115211
-0.541753 1.55308 -0.531229 -0.0448622 -0.164853 -0.0218239
-0.535171 1.62149 0.507956 -0.021889 0.168059 -0.0970894
-0.496903 1.61414 1.58925 0.155886 0.117937 -0.00107039
0.552318 -1.59491 -1.57177 0.0999769 -0.0554383 0.0857306
0.551647 -1.57344 -0.488298 0.084609 0.0581032 0.186264
0.50884 -1.58857 0.526263 -0.0911271 -0.00618083 0.00580711
0.557586 -1.57025 1.6082 0.127929 0.0815779 0.100958
0.543221 -0.571768 -1.58175 0.062707 -0.194576 0.0299679
0.489446 -0.532108 -0.511803 -0.187475 -0.0086507 0.0706826
0.561359 -0.499492 0.502163 0.151042 0.131435 -0.116509
0.567113 -0.535317 1.59052 0.172584 -0.0186495 0.0110645
0.519996 0.550413 -1.61033 -0.0541553 0.0820235 -0.124989
0.498851 0.535357 -0.568483 -0.120085 0.0223817 -0.186512
0.545213 0.51962 0.545151 0.0735283 -0.0400331 0.0561149
0.552721 0.554418 1.55507 0.0906374 0.123415 -0.143736
0.535382 1.56107 -1.59434 0.0109434 -0.111849 -0.0399372
0.564559 1.56557 -0.545566 0.173356 -0.0939278 -0.0878315
0.548299 1.56569 0.490297 0.0685757 -0.10288 -0.183847
0.567784 1.61215 1.58029 0.189219 0.125275 -0.0413111
1.55742 -1.61789 -1.60419 -0.132426 -0.135326 -0.0738596
1.55203 -1.57797 -0.501719 -0.148807 0.0485565 0.125616
1.60373 -1.57823 0.540886 0.0569169 0.0455971 0.0641339
1.56901 -1.62154 1.59165 -0.0830316 -0.154326 0.0170038
1.59211 -0.516032 -1.6133 0.0273857 0.0470329 -0.126199
1.61431 -0.526086 -0.542564 0.124808 0.0227151 -0.0701604
1.58794 -0.524035 0.525495 0.0173967 0.0270041 -0.0210417
1.57512 -0.537492 1.57966 -0.0362126 -0.0511907 -0.0424925
1.54867 0.506363 -1.56846 -0.180068 -0.0976621 0.0980092
1.60179 0.564345 -0.488751 0.0506975 0.170932 0.192411
1.58137 0.540336 0.541762 -0.0221429 0.0571624 0.0711873
1.5551 0.513316 1.59251 -0.144302 -0.072168 0.0330492
1.54448 1.59495 -1.54898 -0.188626 0.0214836 0.179492
1.62507 1.6143 -0.529148 0.189182 0.136469 0.009588
1.54523 1.60226 0.526974 -0.181262 0.0753215 -0.00406639
1.60573 1.59933 1.61194 0.0890991 0.0403198 0.123372
